R,Expected,GPIO 2,GPIO 35,,
0,0,0.128,0.142,,
340,0.1,0.145,0.162,,
640,0.2,0.225,0.22,,
1000,0.3,0.315,0.317,,
1400,0.4,0.4,0.424,,
1800,0.5,0.48,0.521,,
2240,0.6,0.56,0.623,,
2720,0.7,0.63,0.73,,
3240,0.8,0.7,0.822,,
3750,0.9,0.76,0.915,,
4350,1,0.825,1.017,,
5000,1.1,0.885,1.119,,
5750,1.2,0.95,1.224,,
6500,1.3,1.005,1.319,,
7390,1.4,1.06,1.425,,
8400,1.5,1.12,1.527,,
9460,1.6,1.17,1.623,,
10600,1.7,1.215,1.722,,
12000,1.8,1.265,1.83,,
13650,1.9,1.315,1.93,,
15350,2,1.355,2.015,,
17520,2.1,1.4,2.13,,
20000,2.2,1.445,2.23,,
23000,2.3,1.485,2.323,,
26650,2.4,1.525,2.426,,
31220,2.5,1.56,2.522,,
37200,2.6,1.6,2.63,,
45000,2.7,1.635,2.73,,
56000,2.8,1.67,2.823,,
72450,2.9,1.7,2.925,,
100000,3,1.735,3.024,,
